Ativo,Data,Intervalo,Volume
BTCUSDT,2024-01-01 00:00:00,1d,27174.29903
BTCUSDT,2024-01-02 00:00:00,1d,65146.40661
BTCUSDT,2024-01-03 00:00:00,1d,81194.55173
BTCUSDT,2024-01-04 00:00:00,1d,48038.06334
BTCUSDT,2024-01-05 00:00:00,1d,48075.25327
BTCUSDT,2024-01-06 00:00:00,1d,17835.06144
BTCUSDT,2024-01-07 00:00:00,1d,23023.8508
BTCUSDT,2024-01-08 00:00:00,1d,72814.57589
BTCUSDT,2024-01-09 00:00:00,1d,69927.66617
BTCUSDT,2024-01-10 00:00:00,1d,89911.41203
BTCUSDT,2024-01-11 00:00:00,1d,87470.3296
BTCUSDT,2024-01-12 00:00:00,1d,86327.93707
BTCUSDT,2024-01-13 00:00:00,1d,36118.47464
BTCUSDT,2024-01-14 00:00:00,1d,28228.40894
BTCUSDT,2024-01-15 00:00:00,1d,40269.89303
BTCUSDT,2024-01-16 00:00:00,1d,45045.74589
BTCUSDT,2024-01-17 00:00:00,1d,33266.21388
BTCUSDT,2024-01-18 00:00:00,1d,43907.51641
BTCUSDT,2024-01-19 00:00:00,1d,48342.74559
BTCUSDT,2024-01-20 00:00:00,1d,15923.99493
BTCUSDT,2024-01-21 00:00:00,1d,11730.16301
BTCUSDT,2024-01-22 00:00:00,1d,55426.19911
BTCUSDT,2024-01-23 00:00:00,1d,57956.63351
BTCUSDT,2024-01-24 00:00:00,1d,39293.82861
BTCUSDT,2024-01-25 00:00:00,1d,31022.11853
BTCUSDT,2024-01-26 00:00:00,1d,47384.96726
BTCUSDT,2024-01-27 00:00:00,1d,16224.41667
BTCUSDT,2024-01-28 00:00:00,1d,27294.99838
BTCUSDT,2024-01-29 00:00:00,1d,31542.74207
BTCUSDT,2024-01-30 00:00:00,1d,37619.24546
BTCUSDT,2024-01-31 00:00:00,1d,39871.13688
BTCUSDT,2024-02-01 00:00:00,1d,35231.04664
BTCUSDT,2024-02-02 00:00:00,1d,29672.14418
BTCUSDT,2024-02-03 00:00:00,1d,12033.40998
BTCUSDT,2024-02-04 00:00:00,1d,17066.89404
BTCUSDT,2024-02-05 00:00:00,1d,29467.75905
BTCUSDT,2024-02-06 00:00:00,1d,24675.85433
BTCUSDT,2024-02-07 00:00:00,1d,34392.59915
BTCUSDT,2024-02-08 00:00:00,1d,45439.62231
BTCUSDT,2024-02-09 00:00:00,1d,73503.481
BTCUSDT,2024-02-10 00:00:00,1d,24802.35936
BTCUSDT,2024-02-11 00:00:00,1d,29958.80837
BTCUSDT,2024-02-12 00:00:00,1d,59009.96705
BTCUSDT,2024-02-13 00:00:00,1d,55551.56706
BTCUSDT,2024-02-14 00:00:00,1d,57046.37401
BTCUSDT,2024-02-15 00:00:00,1d,53816.03055
BTCUSDT,2024-02-16 00:00:00,1d,37772.25318
BTCUSDT,2024-02-17 00:00:00,1d,25674.00622
BTCUSDT,2024-02-18 00:00:00,1d,21992.10363
BTCUSDT,2024-02-19 00:00:00,1d,29534.99432
BTCUSDT,2024-02-20 00:00:00,1d,49614.47318
BTCUSDT,2024-02-21 00:00:00,1d,43079.40049
BTCUSDT,2024-02-22 00:00:00,1d,35309.44574
BTCUSDT,2024-02-23 00:00:00,1d,30545.79544
BTCUSDT,2024-02-24 00:00:00,1d,16560.4211
BTCUSDT,2024-02-25 00:00:00,1d,18721.63159
BTCUSDT,2024-02-26 00:00:00,1d,51256.72199
BTCUSDT,2024-02-27 00:00:00,1d,67194.98562
BTCUSDT,2024-02-28 00:00:00,1d,118763.46984
BTCUSDT,2024-02-29 00:00:00,1d,78425.07603
BTCUSDT,2024-03-01 00:00:00,1d,47737.93473
BTCUSDT,2024-03-02 00:00:00,1d,25534.73659
BTCUSDT,2024-03-03 00:00:00,1d,28994.90903
BTCUSDT,2024-03-04 00:00:00,1d,84835.16005
BTCUSDT,2024-03-05 00:00:00,1d,132696.7813
BTCUSDT,2024-03-06 00:00:00,1d,78738.85491
BTCUSDT,2024-03-07 00:00:00,1d,53059.8869
BTCUSDT,2024-03-08 00:00:00,1d,74261.932842
BTCUSDT,2024-03-09 00:00:00,1d,19872.89743
BTCUSDT,2024-03-10 00:00:00,1d,38404.66835
BTCUSDT,2024-03-11 00:00:00,1d,75292.825726
BTCUSDT,2024-03-12 00:00:00,1d,68783.546691
BTCUSDT,2024-03-13 00:00:00,1d,52659.711647
BTCUSDT,2024-03-14 00:00:00,1d,71757.628746
BTCUSDT,2024-03-15 00:00:00,1d,103334.03546
BTCUSDT,2024-03-16 00:00:00,1d,55926.95336
BTCUSDT,2024-03-17 00:00:00,1d,49742.21589
BTCUSDT,2024-03-18 00:00:00,1d,55691.08088
BTCUSDT,2024-03-19 00:00:00,1d,101005.32487
BTCUSDT,2024-03-20 00:00:00,1d,90420.58592
BTCUSDT,2024-03-21 00:00:00,1d,53357.48002
BTCUSDT,2024-03-22 00:00:00,1d,51482.37821
BTCUSDT,2024-03-23 00:00:00,1d,26410.11409
BTCUSDT,2024-03-24 00:00:00,1d,31395.78015
BTCUSDT,2024-03-25 00:00:00,1d,53431.14486
BTCUSDT,2024-03-26 00:00:00,1d,38934.38417
BTCUSDT,2024-03-27 00:00:00,1d,49119.35685
BTCUSDT,2024-03-28 00:00:00,1d,35439.03239
BTCUSDT,2024-03-29 00:00:00,1d,25445.08353
BTCUSDT,2024-03-30 00:00:00,1d,13644.61142
BTCUSDT,2024-03-31 00:00:00,1d,19396.34433
BTCUSDT,2024-04-01 01:00:00,1d,41445.32039
BTCUSDT,2024-04-02 01:00:00,1d,71799.82793
BTCUSDT,2024-04-03 01:00:00,1d,39887.21778
BTCUSDT,2024-04-04 01:00:00,1d,41510.48453
BTCUSDT,2024-04-05 01:00:00,1d,37915.23073
BTCUSDT,2024-04-06 01:00:00,1d,20134.28919
BTCUSDT,2024-04-07 01:00:00,1d,21534.74433
BTCUSDT,2024-04-08 01:00:00,1d,45723.87624
BTCUSDT,2024-04-09 01:00:00,1d,39293.90242
BTCUSDT,2024-04-10 01:00:00,1d,42006.02377
BTCUSDT,2024-04-11 01:00:00,1d,31917.25595
BTCUSDT,2024-04-12 01:00:00,1d,56072.86229
BTCUSDT,2024-04-13 01:00:00,1d,71395.22019
BTCUSDT,2024-04-14 01:00:00,1d,61599.17818
BTCUSDT,2024-04-15 01:00:00,1d,52389.53069
BTCUSDT,2024-04-16 01:00:00,1d,53435.29331
BTCUSDT,2024-04-17 01:00:00,1d,50610.54509
BTCUSDT,2024-04-18 01:00:00,1d,43601.60918
BTCUSDT,2024-04-19 01:00:00,1d,69774.30271
BTCUSDT,2024-04-20 01:00:00,1d,23137.42975
BTCUSDT,2024-04-21 01:00:00,1d,19316.42152
BTCUSDT,2024-04-22 01:00:00,1d,31397.99371
BTCUSDT,2024-04-23 01:00:00,1d,22599.90004
BTCUSDT,2024-04-24 01:00:00,1d,33595.69637
BTCUSDT,2024-04-25 01:00:00,1d,31341.46338
BTCUSDT,2024-04-26 01:00:00,1d,27085.19346
BTCUSDT,2024-04-27 01:00:00,1d,20933.06052
BTCUSDT,2024-04-28 01:00:00,1d,16949.20005
BTCUSDT,2024-04-29 01:00:00,1d,28150.22947
BTCUSDT,2024-04-30 01:00:00,1d,54947.65535
BTCUSDT,2024-05-01 01:00:00,1d,81166.46823
BTCUSDT,2024-05-02 01:00:00,1d,47583.81961
BTCUSDT,2024-05-03 01:00:00,1d,43628.40143
BTCUSDT,2024-05-04 01:00:00,1d,24368.69282
BTCUSDT,2024-05-05 01:00:00,1d,18526.75029
BTCUSDT,2024-05-06 01:00:00,1d,34674.91949
BTCUSDT,2024-05-07 01:00:00,1d,25598.79472
BTCUSDT,2024-05-08 01:00:00,1d,26121.19004
BTCUSDT,2024-05-09 01:00:00,1d,30660.8061
BTCUSDT,2024-05-10 01:00:00,1d,36529.34025
BTCUSDT,2024-05-11 01:00:00,1d,13374.56936
BTCUSDT,2024-05-12 01:00:00,1d,12753.13236
BTCUSDT,2024-05-13 01:00:00,1d,32733.41839
BTCUSDT,2024-05-14 01:00:00,1d,29088.72041
BTCUSDT,2024-05-15 01:00:00,1d,43559.74719
BTCUSDT,2024-05-16 01:00:00,1d,31106.3671
BTCUSDT,2024-05-17 01:00:00,1d,26292.23409
BTCUSDT,2024-05-18 01:00:00,1d,14441.25774
BTCUSDT,2024-05-19 01:00:00,1d,18025.30409
BTCUSDT,2024-05-20 01:00:00,1d,50816.7011
BTCUSDT,2024-05-21 01:00:00,1d,49607.4336
BTCUSDT,2024-05-22 01:00:00,1d,27673.18026
BTCUSDT,2024-05-23 01:00:00,1d,40513.17374
BTCUSDT,2024-05-24 01:00:00,1d,28095.83664
BTCUSDT,2024-05-25 01:00:00,1d,12130.39418
BTCUSDT,2024-05-26 01:00:00,1d,11872.11797
BTCUSDT,2024-05-27 01:00:00,1d,23136.92737
BTCUSDT,2024-05-28 01:00:00,1d,32622.97042
BTCUSDT,2024-05-29 01:00:00,1d,23159.83149
BTCUSDT,2024-05-30 01:00:00,1d,28478.2184
BTCUSDT,2024-05-31 01:00:00,1d,26690.32184
BTCUSDT,2024-06-01 01:00:00,1d,8837.66133
BTCUSDT,2024-06-02 01:00:00,1d,15426.32529
BTCUSDT,2024-06-03 01:00:00,1d,29633.374
BTCUSDT,2024-06-04 01:00:00,1d,29619.78489
BTCUSDT,2024-06-05 01:00:00,1d,28703.18082
BTCUSDT,2024-06-06 01:00:00,1d,21842.00449
BTCUSDT,2024-06-07 01:00:00,1d,35598.45045
BTCUSDT,2024-06-08 01:00:00,1d,9773.82967
BTCUSDT,2024-06-09 01:00:00,1d,9890.56709
BTCUSDT,2024-06-10 01:00:00,1d,17122.66941
BTCUSDT,2024-06-11 01:00:00,1d,41436.01588
BTCUSDT,2024-06-12 01:00:00,1d,37175.32356
BTCUSDT,2024-06-13 01:00:00,1d,29079.55571
BTCUSDT,2024-06-14 01:00:00,1d,28408.18797
BTCUSDT,2024-06-15 01:00:00,1d,11451.80242
BTCUSDT,2024-06-16 01:00:00,1d,9392.52223
BTCUSDT,2024-06-17 01:00:00,1d,27386.16851
BTCUSDT,2024-06-18 01:00:00,1d,42350.10244
BTCUSDT,2024-06-19 01:00:00,1d,20060.79576
BTCUSDT,2024-06-20 01:00:00,1d,24265.29031
BTCUSDT,2024-06-21 01:00:00,1d,25993.56442
BTCUSDT,2024-06-22 01:00:00,1d,7308.95542
BTCUSDT,2024-06-23 01:00:00,1d,8224.45447
BTCUSDT,2024-06-24 01:00:00,1d,52161.35414
BTCUSDT,2024-06-25 01:00:00,1d,31189.24361
BTCUSDT,2024-06-26 01:00:00,1d,22485.66463
BTCUSDT,2024-06-27 01:00:00,1d,18344.28631
BTCUSDT,2024-06-28 01:00:00,1d,24821.19255
BTCUSDT,2024-06-29 01:00:00,1d,11509.55904
BTCUSDT,2024-06-30 01:00:00,1d,17326.30136
BTCUSDT,2024-07-01 01:00:00,1d,24547.10538
BTCUSDT,2024-07-02 01:00:00,1d,18573.11875
BTCUSDT,2024-07-03 01:00:00,1d,32160.11127
BTCUSDT,2024-07-04 01:00:00,1d,54568.77276
BTCUSDT,2024-07-05 01:00:00,1d,81348.24756
BTCUSDT,2024-07-06 01:00:00,1d,21651.31558
BTCUSDT,2024-07-07 01:00:00,1d,19118.93918
BTCUSDT,2024-07-08 01:00:00,1d,48090.2049
BTCUSDT,2024-07-09 01:00:00,1d,27732.20788
BTCUSDT,2024-07-10 01:00:00,1d,24951.73799
BTCUSDT,2024-07-11 01:00:00,1d,29761.05735
BTCUSDT,2024-07-12 01:00:00,1d,23652.4569
BTCUSDT,2024-07-13 01:00:00,1d,15357.74519
BTCUSDT,2024-07-14 01:00:00,1d,21178.33907
BTCUSDT,2024-07-15 01:00:00,1d,38690.9782
BTCUSDT,2024-07-16 01:00:00,1d,42530.52915
BTCUSDT,2024-07-17 01:00:00,1d,29567.52954
BTCUSDT,2024-07-18 01:00:00,1d,22568.7225
BTCUSDT,2024-07-19 01:00:00,1d,35634.72739
BTCUSDT,2024-07-20 01:00:00,1d,14386.92434
BTCUSDT,2024-07-21 01:00:00,1d,21819.11191
BTCUSDT,2024-07-22 01:00:00,1d,21451.04303
BTCUSDT,2024-07-23 01:00:00,1d,31406.15316
BTCUSDT,2024-07-24 01:00:00,1d,23082.56277
BTCUSDT,2024-07-25 01:00:00,1d,35126.42934
BTCUSDT,2024-07-26 01:00:00,1d,24244.36023
BTCUSDT,2024-07-27 01:00:00,1d,31710.21921
BTCUSDT,2024-07-28 01:00:00,1d,10868.69394
BTCUSDT,2024-07-29 01:00:00,1d,36467.29633
BTCUSDT,2024-07-30 01:00:00,1d,23132.25441
BTCUSDT,2024-07-31 01:00:00,1d,22625.43905
BTCUSDT,2024-08-01 01:00:00,1d,35542.26854
BTCUSDT,2024-08-02 01:00:00,1d,38820.42937
BTCUSDT,2024-08-03 01:00:00,1d,28034.71567
BTCUSDT,2024-08-04 01:00:00,1d,31616.52003
BTCUSDT,2024-08-05 01:00:00,1d,162065.59186
BTCUSDT,2024-08-06 01:00:00,1d,55884.77676
BTCUSDT,2024-08-07 01:00:00,1d,44269.37684
BTCUSDT,2024-08-08 01:00:00,1d,48349.52949
BTCUSDT,2024-08-09 01:00:00,1d,30972.48017
BTCUSDT,2024-08-10 01:00:00,1d,9995.20621
BTCUSDT,2024-08-11 01:00:00,1d,19189.84512
BTCUSDT,2024-08-12 01:00:00,1d,37009.91743
BTCUSDT,2024-08-13 01:00:00,1d,27858.95851
