Ativo,Data,Intervalo,Volume
BTCUSDT,2025-04-17 12:00:00,1h,427.45329
BTCUSDT,2025-04-17 13:00:00,1h,717.89236
BTCUSDT,2025-04-17 14:00:00,1h,800.05542
BTCUSDT,2025-04-17 15:00:00,1h,1181.1413
BTCUSDT,2025-04-17 16:00:00,1h,1022.61961
BTCUSDT,2025-04-17 17:00:00,1h,1394.8889
BTCUSDT,2025-04-17 18:00:00,1h,878.3987
BTCUSDT,2025-04-17 19:00:00,1h,929.23965
BTCUSDT,2025-04-17 20:00:00,1h,870.29545
BTCUSDT,2025-04-17 21:00:00,1h,383.92432
BTCUSDT,2025-04-17 22:00:00,1h,270.75552
BTCUSDT,2025-04-17 23:00:00,1h,255.30188
BTCUSDT,2025-04-18 00:00:00,1h,231.8542
BTCUSDT,2025-04-18 01:00:00,1h,331.38823
BTCUSDT,2025-04-18 02:00:00,1h,329.8579
BTCUSDT,2025-04-18 03:00:00,1h,301.82105
BTCUSDT,2025-04-18 04:00:00,1h,284.67684
BTCUSDT,2025-04-18 05:00:00,1h,300.39751
BTCUSDT,2025-04-18 06:00:00,1h,431.38662
BTCUSDT,2025-04-18 07:00:00,1h,249.89268
BTCUSDT,2025-04-18 08:00:00,1h,541.7865
BTCUSDT,2025-04-18 09:00:00,1h,284.56217
BTCUSDT,2025-04-18 10:00:00,1h,289.30805
BTCUSDT,2025-04-18 11:00:00,1h,342.73799
BTCUSDT,2025-04-18 12:00:00,1h,250.06555
BTCUSDT,2025-04-18 13:00:00,1h,283.92186
BTCUSDT,2025-04-18 14:00:00,1h,311.96897
BTCUSDT,2025-04-18 15:00:00,1h,313.98928
BTCUSDT,2025-04-18 16:00:00,1h,324.83689
BTCUSDT,2025-04-18 17:00:00,1h,247.68307
BTCUSDT,2025-04-18 18:00:00,1h,168.26965
BTCUSDT,2025-04-18 19:00:00,1h,162.33185
BTCUSDT,2025-04-18 20:00:00,1h,140.25037
BTCUSDT,2025-04-18 21:00:00,1h,148.26203
BTCUSDT,2025-04-18 22:00:00,1h,165.72264
BTCUSDT,2025-04-18 23:00:00,1h,150.6171
BTCUSDT,2025-04-19 00:00:00,1h,174.22835
BTCUSDT,2025-04-19 01:00:00,1h,150.92673
BTCUSDT,2025-04-19 02:00:00,1h,171.80102
BTCUSDT,2025-04-19 03:00:00,1h,367.84088
BTCUSDT,2025-04-19 04:00:00,1h,414.87445
BTCUSDT,2025-04-19 05:00:00,1h,942.76304
BTCUSDT,2025-04-19 06:00:00,1h,439.14401
BTCUSDT,2025-04-19 07:00:00,1h,475.42537
BTCUSDT,2025-04-19 08:00:00,1h,402.38216
BTCUSDT,2025-04-19 09:00:00,1h,302.42907
BTCUSDT,2025-04-19 10:00:00,1h,358.6547
BTCUSDT,2025-04-19 11:00:00,1h,280.34551
BTCUSDT,2025-04-19 12:00:00,1h,436.9476
BTCUSDT,2025-04-19 13:00:00,1h,264.18234
BTCUSDT,2025-04-19 14:00:00,1h,455.21546
BTCUSDT,2025-04-19 15:00:00,1h,345.18822
BTCUSDT,2025-04-19 16:00:00,1h,1519.86316
BTCUSDT,2025-04-19 17:00:00,1h,880.38359
BTCUSDT,2025-04-19 18:00:00,1h,335.55555
BTCUSDT,2025-04-19 19:00:00,1h,373.22771
BTCUSDT,2025-04-19 20:00:00,1h,199.95038
BTCUSDT,2025-04-19 21:00:00,1h,127.37715
BTCUSDT,2025-04-19 22:00:00,1h,141.13902
BTCUSDT,2025-04-19 23:00:00,1h,155.47632
BTCUSDT,2025-04-20 00:00:00,1h,125.48809
BTCUSDT,2025-04-20 01:00:00,1h,329.29484
BTCUSDT,2025-04-20 02:00:00,1h,248.37812
BTCUSDT,2025-04-20 03:00:00,1h,158.61851
BTCUSDT,2025-04-20 04:00:00,1h,146.25197
BTCUSDT,2025-04-20 05:00:00,1h,119.07773
BTCUSDT,2025-04-20 06:00:00,1h,128.65862
BTCUSDT,2025-04-20 07:00:00,1h,283.26816
BTCUSDT,2025-04-20 08:00:00,1h,636.69171
BTCUSDT,2025-04-20 09:00:00,1h,238.80157
BTCUSDT,2025-04-20 10:00:00,1h,351.30667
BTCUSDT,2025-04-20 11:00:00,1h,844.03623
BTCUSDT,2025-04-20 12:00:00,1h,451.2566
BTCUSDT,2025-04-20 13:00:00,1h,609.96744
BTCUSDT,2025-04-20 14:00:00,1h,297.68348
BTCUSDT,2025-04-20 15:00:00,1h,380.00648
BTCUSDT,2025-04-20 16:00:00,1h,433.36249
BTCUSDT,2025-04-20 17:00:00,1h,328.38904
BTCUSDT,2025-04-20 18:00:00,1h,161.24385
BTCUSDT,2025-04-20 19:00:00,1h,139.94271
BTCUSDT,2025-04-20 20:00:00,1h,139.48309
BTCUSDT,2025-04-20 21:00:00,1h,693.63733
BTCUSDT,2025-04-20 22:00:00,1h,276.81879
BTCUSDT,2025-04-20 23:00:00,1h,272.57238
BTCUSDT,2025-04-21 00:00:00,1h,422.92944
BTCUSDT,2025-04-21 01:00:00,1h,3732.36432
BTCUSDT,2025-04-21 02:00:00,1h,2940.48179
BTCUSDT,2025-04-21 03:00:00,1h,1834.30291
BTCUSDT,2025-04-21 04:00:00,1h,1026.18836
BTCUSDT,2025-04-21 05:00:00,1h,806.69672
BTCUSDT,2025-04-21 06:00:00,1h,819.12232
BTCUSDT,2025-04-21 07:00:00,1h,603.57534
BTCUSDT,2025-04-21 08:00:00,1h,630.34326
BTCUSDT,2025-04-21 09:00:00,1h,471.87477
BTCUSDT,2025-04-21 10:00:00,1h,1050.03827
BTCUSDT,2025-04-21 11:00:00,1h,619.7016
BTCUSDT,2025-04-21 12:00:00,1h,1164.29091
BTCUSDT,2025-04-21 13:00:00,1h,871.3383
BTCUSDT,2025-04-21 14:00:00,1h,1660.3259
BTCUSDT,2025-04-21 15:00:00,1h,3876.26378
BTCUSDT,2025-04-21 16:00:00,1h,1920.55832
BTCUSDT,2025-04-21 17:00:00,1h,1565.63292
BTCUSDT,2025-04-21 18:00:00,1h,2005.35325
BTCUSDT,2025-04-21 19:00:00,1h,835.76683
BTCUSDT,2025-04-21 20:00:00,1h,1154.45036
BTCUSDT,2025-04-21 21:00:00,1h,445.85734
BTCUSDT,2025-04-21 22:00:00,1h,492.56287
BTCUSDT,2025-04-21 23:00:00,1h,469.52485
BTCUSDT,2025-04-22 00:00:00,1h,776.75733
BTCUSDT,2025-04-22 01:00:00,1h,1336.03829
